State Id,Date,Number of infected (new),Number of Death (New),Number of Recovery (New)
1.0,14/3/2020,30.0,0.0,0.0
1.0,15/3/2020,5.595159756300816,0.0,1.0010647712125829
1.0,16/3/2020,3.175950708964669,0.0,0.9868185302167007
1.0,17/3/2020,0.0,0.0,0.8674386416336863
1.0,18/3/2020,0.0,0.0,0.6710301448262159
1.0,19/3/2020,0.0,0.0,0.4339182147704257
1.0,20/3/2020,0.0,0.0,0.19244576980089967
1.0,21/3/2020,0.0,0.0,0.0040919035467226195
1.0,22/3/2020,0.0,0.0,0.0
1.0,23/3/2020,0.0,0.0,0.0
1.0,24/3/2020,0.0,0.0,0.0
1.0,25/3/2020,0.0,0.0,0.0
1.0,26/3/2020,1.939282516104556,0.0,0.12925307882837345
1.0,27/3/2020,23.515291029562096,0.0,1.6673159669416542
1.0,28/3/2020,10.123644400054344,0.0,1.1090160189658693
1.0,29/3/2020,0.0,0.0,0.5626991653159932
1.0,30/3/2020,0.0,0.0,0.7192247670839276
1.0,31/3/2020,0.0,0.03934549168878336,0.519587556793281
1.0,1/4/2020,0.0,0.05063901367298973,0.48675327325000284
1.0,2/4/2020,0.0,0.0579082898708913,0.48341447636835594
1.0,3/4/2020,0.0,0.060674901684169336,0.4862831495993095
1.0,4/4/2020,0.0,0.05823520935027338,0.49458339361220327
1.0,5/4/2020,0.0,0.05023542830615338,0.5072168281277444
1.0,6/4/2020,0.0,0.03740671030137335,0.5227068726339084
1.0,7/4/2020,0.004113070134097927,0.022400018739301118,0.5402543412618871
1.0,8/4/2020,3.3201094800885653,0.011101376397208818,0.7969464837313198
1.0,9/4/2020,0.0,0.012122491537826265,0.0
1.0,10/4/2020,0.0,0.013259684029323595,0.0
1.0,11/4/2020,0.0,0.017350654179747054,0.0
1.0,12/4/2020,0.0,0.01983711174275577,0.0
1.0,13/4/2020,0.0,0.06552906840729072,0.0
1.0,14/4/2020,0.0,0.08769088461834068,0.0
1.0,15/4/2020,0.0010551021439160202,0.09888303513236185,0.0
1.0,16/4/2020,0.0,0.10787486719723154,0.0
1.0,17/4/2020,0.21784995011732766,0.1093802833927901,0.0
1.0,18/4/2020,6.2564518685811015,0.1107933815171093,0.4322622025977759
1.0,19/4/2020,3.61076145798139,0.10721955700633606,0.380399857766405
1.0,20/4/2020,2.9187004515637973,0.10750302519865146,0.4133652893766993
1.0,21/4/2020,2.6812234041263974,0.10664480704792931,0.46596178673317357
1.0,22/4/2020,2.5744303403935564,0.10333460344221103,0.524949022429401
1.0,23/4/2020,11.753309799765908,0.1014220119009697,1.3083039179177358
1.0,24/4/2020,21.675308222920815,0.09933987429222935,2.37458469773079
1.0,25/4/2020,12.51235468666746,0.10581858774836987,2.1754367280586355
1.0,26/4/2020,0.0,0.09136137176387532,1.3643998461430713
1.0,27/4/2020,0.0,0.08173070007712703,1.2060423542338443
1.0,28/4/2020,0.0,0.07093627377430868,0.2183708404920628
1.0,29/4/2020,0.0,0.06482393065915437,0.8259892835210086
1.0,30/4/2020,0.0,0.06046880829662667,0.6994786313010333
