Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,2,2,0,0,0,0
22-Mar-20,0,2,0,0,0,0
23-Mar-20,0,2,0,0,0,0
24-Mar-20,0,2,0,0,0,0
25-Mar-20,1,3,0,0,0,0
26-Mar-20,1,4,0,0,0,0
27-Mar-20,2,6,0,0,0,0
28-Mar-20,0,6,0,0,0,0
29-Mar-20,8,14,0,0,0,0
30-Mar-20,10,24,0,0,0,0
31-Mar-20,0,24,0,0,0,0
01-Apr-20,2,26,0,0,0,0
02-Apr-20,6,32,0,0,0,0
03-Apr-20,0,32,0,0,0,0
04-Apr-20,0,32,0,0,0,0
05-Apr-20,0,32,0,0,0,0
06-Apr-20,0,32,0,0,4,4
07-Apr-20,0,32,0,0,0,4
08-Apr-20,0,32,0,0,0,4
09-Apr-20,26,58,0,0,0,4
10-Apr-20,2,60,0,0,0,4
11-Apr-20,0,60,0,0,0,4
12-Apr-20,4,64,0,0,0,4
13-Apr-20,0,64,0,0,0,4
14-Apr-20,0,64,0,0,0,4
15-Apr-20,6,70,0,0,0,4
16-Apr-20,0,70,0,0,0,4
17-Apr-20,0,70,0,0,0,4
18-Apr-20,0,70,0,0,0,4
19-Apr-20,0,70,0,0,0,4
20-Apr-20,0,70,0,0,0,4
21-Apr-20,0,70,0,0,0,4
22-Apr-20,0,70,0,0,0,4
23-Apr-20,0,70,0,0,0,4
24-Apr-20,0,70,0,0,0,4
25-Apr-20,0,70,0,0,0,4
26-Apr-20,0,70,0,0,0,4
27-Apr-20,0,70,0,0,0,4
28-Apr-20,0,70,1,1,60,64
29-Apr-20,0,70,0,1,5,69
30-Apr-20,0,70,0,1,0,69
01-May-20,0,70,0,1,0,69
02-May-20,0,70,0,1,0,69
03-May-20,0,70,0,1,0,69
04-May-20,0,70,0,1,0,69
05-May-20,0,70,0,1,0,69
06-May-20,0,70,0,1,0,69
07-May-20,0,70,0,1,0,69
08-May-20,0,70,0,1,0,69
09-May-20,0,70,0,1,0,69
10-May-20,0,70,0,1,0,69
11-May-20,0,70,0,1,0,69
12-May-20,0,70,0,1,0,69
13-May-20,0,70,0,1,0,69
14-May-20,0,70,0,1,0,69
15-May-20,0,70,0,1,0,69
