Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,1.0,1,0.0,0,0.0,0
03-Apr-20,0.0,1,0.0,0,0.0,0
04-Apr-20,10.0,11,0.0,0,0.0,0
05-Apr-20,1.0,12,0.0,0,0.0,0
06-Apr-20,0.0,12,0.0,0,0.0,0
07-Apr-20,0.0,12,0.0,0,0.0,0
08-Apr-20,1.0,13,0.0,0,0.0,0
09-Apr-20,0.0,13,0.0,0,0.0,0
10-Apr-20,0.0,13,0.0,0,0.0,0
11-Apr-20,16.0,29,0.0,0,0.0,0
12-Apr-20,1.0,30,0.0,0,0.0,0
13-Apr-20,4.0,34,0.0,0,0.0,0
14-Apr-20,0.0,34,0.0,0,0.0,0
15-Apr-20,7.0,41,0.0,0,0.0,0
16-Apr-20,1.0,42,0.0,0,0.0,0
17-Apr-20,5.0,47,0.0,0,0.0,0
18-Apr-20,0.0,47,0.0,0,0.0,0
19-Apr-20,0.0,47,0.0,0,0.0,0
20-Apr-20,0.0,47,0.0,0,0.0,0
21-Apr-20,2.0,49,0.0,0,0.0,0
22-Apr-20,2.0,51,0.0,0,0.0,0
23-Apr-20,0.0,51,0.0,0,0.0,0
24-Apr-20,2.0,53,0.0,0,0.0,0
25-Apr-20,0.0,53,0.0,0,0.0,0
26-Apr-20,1.0,54,0.0,0,0.0,0
27-Apr-20,0.0,54,0.0,0,0.0,0
28-Apr-20,0.0,54,0.0,0,14.0,14
29-Apr-20,1.0,55,0.0,0,16.0,30
30-Apr-20,1.0,56,0.0,0,0.0,30
01-May-20,6.0,62,0.0,0,14.0,44
02-May-20,8.0,70,0.0,0,1.0,45
03-May-20,2.0,72,0.0,0,0.0,45
04-May-20,9.0,81,0.0,0,1.0,46
05-May-20,20.0,101,0.0,0,3.0,49
06-May-20,34.0,135,0.0,0,1.0,50
07-May-20,63.0,198,1.0,1,0.0,50
08-May-20,75.0,273,0.0,1,3.0,53
09-May-20,26.0,299,0.0,1,8.0,61
10-May-20,47.0,346,1.0,2,2.0,63
11-May-20,97.0,443,0.0,2,1.0,64
12-May-20,27.0,470,1.0,3,2.0,66
13-May-20,25.0,495,0.0,3,17.0,83
14-May-20,15.0,510,0.0,3,-1.0,82
15-May-20,6.0,516,0.0,3,2.0,84
