Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,1.0,1,0.0,0,0.0,0
29-Mar-20,0.0,1,0.0,0,0.0,0
30-Mar-20,0.0,1,0.0,0,0.0,0
31-Mar-20,0.0,1,0.0,0,0.0,0
01-Apr-20,0.0,1,0.0,0,0.0,0
02-Apr-20,9.0,10,0.0,0,0.0,0
03-Apr-20,1.0,11,0.0,0,0.0,0
04-Apr-20,0.0,11,0.0,0,0.0,0
05-Apr-20,0.0,11,0.0,0,0.0,0
06-Apr-20,0.0,11,0.0,0,0.0,0
07-Apr-20,0.0,11,0.0,0,0.0,0
08-Apr-20,0.0,11,0.0,0,0.0,0
09-Apr-20,0.0,11,0.0,0,0.0,0
10-Apr-20,0.0,11,0.0,0,0.0,0
11-Apr-20,0.0,11,0.0,0,0.0,0
12-Apr-20,0.0,11,0.0,0,0.0,0
13-Apr-20,6.0,17,0.0,0,0.0,0
14-Apr-20,0.0,17,0.0,0,0.0,0
15-Apr-20,0.0,17,0.0,0,0.0,0
16-Apr-20,0.0,17,0.0,0,0.0,0
17-Apr-20,0.0,17,0.0,0,0.0,0
18-Apr-20,0.0,17,0.0,0,0.0,0
19-Apr-20,2.0,19,0.0,0,0.0,0
20-Apr-20,0.0,19,0.0,0,0.0,0
21-Apr-20,0.0,19,0.0,0,0.0,0
22-Apr-20,0.0,19,0.0,0,0.0,0
23-Apr-20,3.0,22,0.0,0,0.0,0
24-Apr-20,1.0,23,0.0,0,0.0,0
25-Apr-20,2.0,25,0.0,0,0.0,0
26-Apr-20,7.0,32,0.0,0,0.0,0
27-Apr-20,0.0,32,0.0,0,0.0,0
28-Apr-20,0.0,32,0.0,0,16.0,16
29-Apr-20,0.0,32,0.0,0,0.0,16
30-Apr-20,0.0,32,0.0,0,3.0,19
01-May-20,0.0,32,0.0,0,0.0,19
02-May-20,0.0,32,0.0,0,0.0,19
03-May-20,0.0,32,0.0,0,0.0,19
04-May-20,2.0,34,0.0,0,4.0,23
05-May-20,1.0,35,0.0,0,0.0,23
06-May-20,0.0,35,0.0,0,3.0,26
07-May-20,0.0,35,0.0,0,2.0,28
08-May-20,3.0,38,0.0,0,0.0,28
09-May-20,0.0,38,0.0,0,7.0,35
10-May-20,2.0,40,0.0,0,0.0,35
11-May-20,1.0,41,0.0,0,0.0,35
12-May-20,4.0,45,0.0,0,-4.0,31
13-May-20,0.0,45,0.0,0,0.0,31
14-May-20,0.0,45,0.0,0,1.0,32
15-May-20,1.0,46,0.0,0,0.0,32
