Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,3,0,0,0,1
15-Mar-20,1,4,0,0,0,1
16-Mar-20,0,4,0,0,0,1
17-Mar-20,0,4,0,0,0,1
18-Mar-20,0,4,0,0,0,1
19-Mar-20,0,4,0,0,0,1
20-Mar-20,0,4,0,0,0,1
21-Mar-20,0,4,0,0,0,1
22-Mar-20,0,4,0,0,0,1
23-Mar-20,0,4,0,0,0,1
24-Mar-20,1,5,0,0,1,2
25-Mar-20,0,5,0,0,0,2
26-Mar-20,0,5,0,0,0,2
27-Mar-20,0,5,0,0,0,2
28-Mar-20,2,7,0,0,1,3
29-Mar-20,1,8,0,0,0,3
30-Mar-20,0,8,0,0,0,3
31-Mar-20,2,10,1,1,0,3
01-Apr-20,2,12,0,1,0,3
02-Apr-20,1,13,0,1,1,4
03-Apr-20,0,13,0,1,0,4
04-Apr-20,0,13,0,1,0,4
05-Apr-20,0,13,0,1,0,4
06-Apr-20,0,13,0,1,0,4
07-Apr-20,0,13,0,1,0,4
08-Apr-20,0,13,0,1,0,4
09-Apr-20,1,14,0,1,0,4
10-Apr-20,0,14,0,1,0,4
11-Apr-20,0,14,0,1,0,4
12-Apr-20,0,14,0,1,0,4
13-Apr-20,0,14,0,1,0,4
14-Apr-20,0,14,0,1,0,4
15-Apr-20,0,14,0,1,0,4
16-Apr-20,0,14,0,1,0,4
17-Apr-20,0,14,0,1,0,4
18-Apr-20,0,14,0,1,0,4
19-Apr-20,0,14,0,1,0,4
20-Apr-20,0,14,0,1,0,4
21-Apr-20,0,14,0,1,8,12
22-Apr-20,0,14,0,1,0,12
23-Apr-20,1,15,0,1,0,12
24-Apr-20,0,15,0,1,0,12
25-Apr-20,0,15,0,1,0,12
26-Apr-20,0,15,0,1,1,13
27-Apr-20,0,15,0,1,1,14
28-Apr-20,0,15,0,1,0,14
29-Apr-20,2,17,0,1,0,14
30-Apr-20,0,17,0,1,0,14
01-May-20,0,17,0,1,0,14
02-May-20,0,17,0,1,0,14
03-May-20,0,17,0,1,0,14
04-May-20,0,17,0,1,2,16
05-May-20,0,17,0,1,0,16
06-May-20,0,17,0,1,0,16
07-May-20,0,17,0,1,0,16
08-May-20,0,17,0,1,0,16
09-May-20,0,17,0,1,0,16
10-May-20,0,17,0,1,0,16
11-May-20,0,17,0,1,0,16
12-May-20,0,17,0,1,0,16
13-May-20,0,17,0,1,0,16
14-May-20,0,17,0,1,0,16
15-May-20,0,17,0,1,0,16
