Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,0.0,0,0.0,0,0.0,0
01-Apr-20,0.0,0,0.0,0,0.0,0
02-Apr-20,0.0,0,0.0,0,0.0,0
03-Apr-20,0.0,0,0.0,0,0.0,0
04-Apr-20,3.0,3,0.0,0,0.0,0
05-Apr-20,1.0,4,0.0,0,0.0,0
06-Apr-20,0.0,4,0.0,0,0.0,0
07-Apr-20,0.0,4,0.0,0,0.0,0
08-Apr-20,8.0,12,0.0,0,0.0,0
09-Apr-20,0.0,12,0.0,0,0.0,0
10-Apr-20,2.0,14,0.0,0,0.0,0
11-Apr-20,0.0,14,0.0,0,0.0,0
12-Apr-20,0.0,14,0.0,0,0.0,0
13-Apr-20,3.0,17,0.0,0,0.0,0
14-Apr-20,0.0,17,0.0,0,0.0,0
15-Apr-20,22.0,39,0.0,0,0.0,0
16-Apr-20,0.0,39,0.0,0,0.0,0
17-Apr-20,0.0,39,0.0,0,0.0,0
18-Apr-20,0.0,39,0.0,0,0.0,0
19-Apr-20,0.0,39,0.0,0,0.0,0
20-Apr-20,0.0,39,0.0,0,0.0,0
21-Apr-20,2.0,41,3.0,3,3.0,3
22-Apr-20,0.0,41,0.0,3,0.0,3
23-Apr-20,10.0,51,2.0,5,4.0,7
24-Apr-20,10.0,61,1.0,6,0.0,7
25-Apr-20,-1.0,60,0.0,6,0.0,7
26-Apr-20,1.0,61,0.0,6,5.0,12
27-Apr-20,0.0,61,0.0,6,0.0,12
28-Apr-20,0.0,61,0.0,6,0.0,12
29-Apr-20,9.0,70,1.0,7,10.0,22
30-Apr-20,0.0,70,0.0,7,0.0,22
01-May-20,3.0,73,0.0,7,0.0,22
02-May-20,4.0,77,0.0,7,0.0,22
03-May-20,0.0,77,0.0,7,2.0,24
04-May-20,0.0,77,0.0,7,0.0,24
05-May-20,2.0,79,0.0,7,12.0,36
06-May-20,0.0,79,0.0,7,1.0,37
07-May-20,1.0,80,1.0,8,0.0,37
08-May-20,0.0,80,0.0,8,0.0,37
09-May-20,1.0,81,0.0,8,2.0,39
10-May-20,0.0,81,0.0,8,0.0,39
11-May-20,8.0,89,0.0,8,13.0,52
12-May-20,3.0,92,0.0,8,0.0,52
13-May-20,3.0,95,0.0,8,1.0,53
14-May-20,2.0,97,0.0,8,2.0,55
15-May-20,2.0,99,0.0,8,7.0,62
