Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,2,2,0,0,0,0
18-Mar-20,1,3,0,0,0,0
19-Mar-20,1,4,0,0,0,0
20-Mar-20,0,4,0,0,0,0
21-Mar-20,2,6,0,0,0,0
22-Mar-20,2,8,0,0,0,0
23-Mar-20,0,8,0,0,0,0
24-Mar-20,1,9,0,0,0,0
25-Mar-20,2,11,0,0,0,0
26-Mar-20,3,14,0,0,0,0
27-Mar-20,3,17,0,0,0,0
28-Mar-20,10,27,0,0,0,0
29-Mar-20,4,31,0,0,0,0
30-Mar-20,7,38,0,0,0,0
31-Mar-20,2,40,0,0,0,0
01-Apr-20,8,48,0,0,0,0
02-Apr-20,0,48,0,0,0,0
03-Apr-20,2,50,0,0,0,0
04-Apr-20,8,58,0,0,0,0
05-Apr-20,0,58,0,0,0,0
06-Apr-20,0,58,0,0,0,0
07-Apr-20,0,58,0,0,0,0
08-Apr-20,0,58,0,0,0,0
09-Apr-20,3,61,0,0,0,0
10-Apr-20,1,62,0,0,0,0
11-Apr-20,0,62,0,0,0,0
12-Apr-20,0,62,0,0,0,0
13-Apr-20,4,66,0,0,0,0
14-Apr-20,16,82,0,0,0,0
15-Apr-20,0,82,0,0,0,0
16-Apr-20,10,92,0,0,0,0
17-Apr-20,0,92,0,0,0,0
18-Apr-20,3,95,0,0,0,0
19-Apr-20,0,95,0,0,0,0
