Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,0,0,0,0,0,0
26-Mar-20,0,0,0,0,0,0
27-Mar-20,0,0,0,0,0,0
28-Mar-20,0,0,0,0,0,0
29-Mar-20,0,0,0,0,0,0
30-Mar-20,0,0,0,0,0,0
31-Mar-20,0,0,0,0,0,0
01-Apr-20,0,0,0,0,0,0
02-Apr-20,0,0,0,0,0,0
03-Apr-20,0,0,0,0,0,0
04-Apr-20,0,0,0,0,0,0
05-Apr-20,0,0,0,0,0,0
06-Apr-20,0,0,0,0,0,0
07-Apr-20,0,0,0,0,0,0
08-Apr-20,1,1,0,0,0,0
09-Apr-20,8,9,0,0,0,0
10-Apr-20,3,12,0,0,0,0
11-Apr-20,0,12,0,0,0,0
12-Apr-20,1,13,0,0,0,0
13-Apr-20,0,13,0,0,0,0
14-Apr-20,0,13,0,0,0,0
15-Apr-20,1,14,0,0,0,0
16-Apr-20,0,14,0,0,0,0
17-Apr-20,0,14,0,0,0,0
18-Apr-20,1,15,0,0,0,0
19-Apr-20,0,15,0,0,0,0
20-Apr-20,0,15,0,0,0,0
21-Apr-20,0,15,0,0,0,0
22-Apr-20,1,16,1,1,0,0
23-Apr-20,5,21,0,1,0,0
24-Apr-20,0,21,0,1,0,0
25-Apr-20,2,23,0,1,7,7
26-Apr-20,6,29,0,1,0,7
27-Apr-20,0,29,0,1,0,7
28-Apr-20,5,34,0,1,1,8
29-Apr-20,5,39,0,1,0,8
30-Apr-20,0,39,0,1,0,8
01-May-20,0,39,0,1,0,8
02-May-20,10,49,0,1,0,8
03-May-20,13,62,0,1,5,13
04-May-20,0,62,0,1,0,13
05-May-20,1,63,5,6,0,13
06-May-20,20,83,3,9,1,14
07-May-20,16,99,1,10,11,25
08-May-20,22,121,0,10,1,26
09-May-20,22,143,1,11,0,26
10-May-20,16,159,0,11,0,26
11-May-20,3,162,0,11,0,26
12-May-20,7,169,1,12,0,26
13-May-20,23,192,0,12,0,26
14-May-20,16,208,0,12,29,55
15-May-20,18,226,2,14,5,60
