Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,1,1,0,0,0,0
15-Mar-20,2,3,0,0,1,1
16-Mar-20,1,4,0,0,0,1
17-Mar-20,1,5,0,0,0,1
18-Mar-20,8,13,0,0,0,1
19-Mar-20,3,16,0,0,0,1
20-Mar-20,3,19,0,0,0,1
21-Mar-20,2,21,0,0,0,1
22-Mar-20,6,27,0,0,0,1
23-Mar-20,6,33,0,0,0,1
24-Mar-20,4,37,0,0,0,1
25-Mar-20,4,41,0,0,0,1
26-Mar-20,3,44,0,0,0,1
27-Mar-20,15,59,0,0,0,1
28-Mar-20,8,67,1,1,0,1
29-Mar-20,3,70,0,1,0,1
30-Mar-20,7,77,5,6,13,14
31-Mar-20,20,97,0,6,0,14
01-Apr-20,30,127,3,9,0,14
02-Apr-20,27,154,0,9,3,17
03-Apr-20,75,229,2,11,15,32
04-Apr-20,43,272,0,11,1,33
05-Apr-20,62,334,0,11,0,33
06-Apr-20,30,364,0,11,12,45
07-Apr-20,40,404,0,11,0,45
08-Apr-20,49,453,0,11,0,45
09-Apr-20,18,471,1,12,0,45
10-Apr-20,16,487,0,12,0,45
11-Apr-20,16,503,2,14,51,96
12-Apr-20,28,531,2,16,7,103
13-Apr-20,61,592,1,17,0,103
14-Apr-20,52,644,1,18,7,110
15-Apr-20,6,650,0,18,8,118
16-Apr-20,50,700,0,18,68,186
17-Apr-20,66,766,0,18,0,186
18-Apr-20,43,809,0,18,0,186
19-Apr-20,49,858,3,21,0,186
20-Apr-20,14,872,2,23,0,186
21-Apr-20,56,928,0,23,8,194
22-Apr-20,15,943,1,24,0,194
23-Apr-20,27,970,1,25,58,252
24-Apr-20,13,983,0,25,39,291
25-Apr-20,7,990,0,25,16,307
26-Apr-20,11,1001,0,25,9,316
27-Apr-20,2,1003,0,25,16,332
28-Apr-20,6,1009,0,25,42,374
29-Apr-20,7,1016,0,25,35,409
30-Apr-20,22,1038,3,28,33,442
01-May-20,6,1044,0,28,22,464
02-May-20,17,1061,1,29,35,499
03-May-20,21,1082,0,29,46,545
04-May-20,3,1085,0,29,40,585
