Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,1.0,1,0.0,0,1.0,1
20-Mar-20,0.0,1,0.0,0,0.0,1
21-Mar-20,0.0,1,0.0,0,0.0,1
22-Mar-20,0.0,1,0.0,0,0.0,1
23-Mar-20,0.0,1,0.0,0,0.0,1
24-Mar-20,0.0,1,0.0,0,0.0,1
25-Mar-20,1.0,2,0.0,0,1.0,2
26-Mar-20,1.0,3,0.0,0,1.0,3
27-Mar-20,0.0,3,0.0,0,0.0,3
28-Mar-20,1.0,4,0.0,0,1.0,4
29-Mar-20,0.0,4,0.0,0,0.0,4
30-Mar-20,0.0,4,0.0,0,0.0,4
31-Mar-20,1.0,5,0.0,0,1.0,5
01-Apr-20,0.0,5,0.0,0,0.0,5
02-Apr-20,0.0,5,0.0,0,0.0,5
03-Apr-20,0.0,5,0.0,0,0.0,5
04-Apr-20,0.0,5,0.0,0,0.0,5
05-Apr-20,0.0,5,0.0,0,0.0,5
06-Apr-20,0.0,5,0.0,0,0.0,5
07-Apr-20,0.0,5,0.0,0,0.0,5
08-Apr-20,0.0,5,0.0,0,0.0,5
09-Apr-20,0.0,5,0.0,0,0.0,5
10-Apr-20,0.0,5,0.0,0,0.0,5
11-Apr-20,0.0,5,0.0,0,0.0,5
12-Apr-20,0.0,5,0.0,0,0.0,5
13-Apr-20,0.0,5,0.0,0,0.0,5
14-Apr-20,0.0,5,0.0,0,0.0,5
15-Apr-20,0.0,5,0.0,0,0.0,5
16-Apr-20,0.0,5,0.0,0,0.0,5
17-Apr-20,0.0,5,0.0,0,0.0,5
18-Apr-20,0.0,5,0.0,0,0.0,5
19-Apr-20,0.0,5,0.0,0,0.0,5
20-Apr-20,0.0,5,0.0,0,0.0,5
21-Apr-20,0.0,5,0.0,0,-5.0,0
22-Apr-20,0.0,5,0.0,0,5.0,5
23-Apr-20,0.0,5,0.0,0,0.0,5
24-Apr-20,0.0,5,0.0,0,0.0,5
25-Apr-20,0.0,5,0.0,0,0.0,5
26-Apr-20,1.0,6,0.0,0,0.0,5
27-Apr-20,0.0,6,0.0,0,0.0,5
28-Apr-20,0.0,6,0.0,0,0.0,5
29-Apr-20,0.0,6,0.0,0,0.0,5
30-Apr-20,0.0,6,0.0,0,0.0,5
01-May-20,0.0,6,0.0,0,0.0,5
02-May-20,0.0,6,0.0,0,0.0,5
03-May-20,0.0,6,0.0,0,0.0,5
04-May-20,1.0,7,0.0,0,0.0,5
05-May-20,0.0,7,0.0,0,0.0,5
06-May-20,0.0,7,0.0,0,0.0,5
07-May-20,0.0,7,0.0,0,0.0,5
08-May-20,0.0,7,0.0,0,0.0,5
09-May-20,0.0,7,0.0,0,1.0,6
10-May-20,0.0,7,0.0,0,0.0,6
11-May-20,0.0,7,0.0,0,0.0,6
12-May-20,0.0,7,0.0,0,0.0,6
13-May-20,0.0,7,0.0,0,1.0,7
14-May-20,0.0,7,0.0,0,0.0,7
15-May-20,0.0,7,0.0,0,0.0,7
