Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,5,0,0,0,0
15-Mar-20,0,5,0,0,0,0
16-Mar-20,0,5,0,0,0,0
17-Mar-20,3,8,0,0,0,0
18-Mar-20,3,11,0,0,0,0
19-Mar-20,0,11,0,0,0,0
20-Mar-20,0,11,0,0,1,1
21-Mar-20,3,14,0,0,0,1
22-Mar-20,3,17,0,0,2,3
23-Mar-20,6,23,0,0,0,3
24-Mar-20,1,24,0,0,2,5
25-Mar-20,8,32,0,0,2,7
26-Mar-20,1,33,0,0,0,7
27-Mar-20,4,37,0,0,2,9
28-Mar-20,2,39,0,0,1,10
29-Mar-20,0,39,0,0,0,10
30-Mar-20,0,39,0,0,1,11
31-Mar-20,4,43,0,0,1,12
01-Apr-20,3,46,0,0,1,13
02-Apr-20,0,46,0,0,1,14
03-Apr-20,0,46,0,0,0,14
04-Apr-20,4,50,0,0,0,14
05-Apr-20,0,50,0,0,1,15
06-Apr-20,1,51,0,0,4,19
07-Apr-20,3,54,0,0,1,20
08-Apr-20,1,55,0,0,0,20
09-Apr-20,5,60,0,0,0,20
10-Apr-20,2,62,0,0,0,20
11-Apr-20,2,64,0,0,0,20
12-Apr-20,3,67,0,0,2,22
13-Apr-20,1,68,0,0,4,26
14-Apr-20,3,71,0,0,0,26
15-Apr-20,2,73,1,1,0,26
16-Apr-20,5,78,0,1,0,26
17-Apr-20,10,88,0,1,0,26
18-Apr-20,3,91,0,1,0,26
19-Apr-20,0,91,0,1,0,26
20-Apr-20,0,91,0,1,0,26
21-Apr-20,9,100,0,1,0,26
22-Apr-20,2,102,0,1,0,26
23-Apr-20,9,111,0,1,0,26
24-Apr-20,9,120,3,4,23,49
25-Apr-20,13,133,0,4,0,49
26-Apr-20,0,133,1,5,8,57
27-Apr-20,1,134,0,5,0,57
28-Apr-20,1,135,0,5,5,62
29-Apr-20,0,135,0,5,0,62
30-Apr-20,10,145,0,5,0,62
01-May-20,0,145,0,5,8,70
02-May-20,0,145,1,6,1,71
03-May-20,4,149,0,6,1,72
04-May-20,1,150,0,6,3,75
05-May-20,3,153,0,6,0,75
06-May-20,2,155,0,6,0,75
07-May-20,1,156,0,6,2,77
08-May-20,7,163,0,6,7,84
09-May-20,12,175,0,6,2,86
10-May-20,2,177,1,7,0,86
11-May-20,1,178,0,7,5,91
12-May-20,4,182,0,7,0,91
13-May-20,2,184,0,7,4,95
14-May-20,5,189,0,7,2,97
15-May-20,13,202,0,7,4,101
