Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,1.0,1,0.0,0,0.0,0
22-Mar-20,0.0,1,0.0,0,0.0,0
23-Mar-20,0.0,1,0.0,0,0.0,0
24-Mar-20,0.0,1,0.0,0,0.0,0
25-Mar-20,0.0,1,0.0,0,0.0,0
26-Mar-20,0.0,1,0.0,0,0.0,0
27-Mar-20,0.0,1,0.0,0,0.0,0
28-Mar-20,1.0,2,0.0,0,0.0,0
29-Mar-20,0.0,2,0.0,0,0.0,0
30-Mar-20,0.0,2,0.0,0,0.0,0
31-Mar-20,0.0,2,0.0,0,0.0,0
01-Apr-20,0.0,2,0.0,0,0.0,0
02-Apr-20,0.0,2,0.0,0,0.0,0
03-Apr-20,0.0,2,0.0,0,0.0,0
04-Apr-20,3.0,5,0.0,0,0.0,0
05-Apr-20,2.0,7,1.0,1,0.0,0
06-Apr-20,0.0,7,0.0,1,0.0,0
07-Apr-20,0.0,7,0.0,1,0.0,0
08-Apr-20,2.0,9,0.0,1,0.0,0
09-Apr-20,0.0,9,0.0,1,0.0,0
10-Apr-20,0.0,9,0.0,1,0.0,0
11-Apr-20,0.0,9,0.0,1,0.0,0
12-Apr-20,0.0,9,0.0,1,0.0,0
13-Apr-20,0.0,9,0.0,1,0.0,0
14-Apr-20,0.0,9,0.0,1,0.0,0
15-Apr-20,0.0,9,0.0,1,0.0,0
16-Apr-20,0.0,9,0.0,1,0.0,0
17-Apr-20,2.0,11,0.0,1,0.0,0
18-Apr-20,3.0,14,0.0,1,0.0,0
19-Apr-20,0.0,14,0.0,1,0.0,0
20-Apr-20,0.0,14,0.0,1,0.0,0
21-Apr-20,2.0,16,0.0,1,6.0,6
22-Apr-20,3.0,19,0.0,1,0.0,6
23-Apr-20,0.0,19,0.0,1,0.0,6
24-Apr-20,7.0,26,0.0,1,9.0,15
25-Apr-20,0.0,26,0.0,1,-9.0,6
26-Apr-20,11.0,37,0.0,1,2.0,8
27-Apr-20,0.0,37,0.0,1,0.0,8
28-Apr-20,13.0,50,0.0,1,0.0,8
29-Apr-20,0.0,50,0.0,1,0.0,8
30-Apr-20,11.0,61,0.0,1,0.0,8
01-May-20,0.0,61,0.0,1,0.0,8
02-May-20,0.0,61,0.0,1,0.0,8
03-May-20,3.0,64,0.0,1,0.0,8
04-May-20,0.0,64,0.0,1,0.0,8
05-May-20,4.0,68,0.0,1,5.0,13
06-May-20,9.0,77,0.0,1,0.0,13
07-May-20,0.0,77,0.0,1,8.0,21
08-May-20,1.0,78,0.0,1,0.0,21
09-May-20,4.0,82,0.0,1,0.0,21
10-May-20,1.0,83,0.0,1,0.0,21
11-May-20,3.0,86,0.0,1,24.0,45
12-May-20,1.0,87,0.0,1,6.0,51
13-May-20,3.0,90,0.0,1,3.0,54
14-May-20,2.0,92,0.0,1,1.0,55
15-May-20,3.0,95,0.0,1,0.0,55
