Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,2,0,0,0,0
15-Mar-20,0,2,0,0,0,0
16-Mar-20,1,3,0,0,0,0
17-Mar-20,0,3,0,0,0,0
18-Mar-20,0,3,0,0,0,0
19-Mar-20,0,3,0,0,0,0
20-Mar-20,0,3,0,0,0,0
21-Mar-20,1,4,0,0,0,0
22-Mar-20,0,4,0,0,0,0
23-Mar-20,0,4,0,0,0,0
24-Mar-20,0,4,0,0,0,0
25-Mar-20,0,4,0,0,0,0
26-Mar-20,0,4,0,0,0,0
27-Mar-20,0,4,0,0,0,0
28-Mar-20,0,4,0,0,0,0
29-Mar-20,0,4,0,0,0,0
30-Mar-20,0,4,0,0,0,0
31-Mar-20,0,4,0,0,0,0
01-Apr-20,0,4,0,0,0,0
02-Apr-20,0,4,0,0,0,0
03-Apr-20,0,4,0,0,0,0
04-Apr-20,0,4,0,0,0,0
05-Apr-20,0,4,0,0,0,0
06-Apr-20,0,4,0,0,0,0
07-Apr-20,0,4,0,0,0,0
08-Apr-20,0,4,0,0,0,0
09-Apr-20,0,4,0,0,0,0
10-Apr-20,0,4,0,0,0,0
11-Apr-20,0,4,0,0,0,0
12-Apr-20,0,4,0,0,0,0
13-Apr-20,1,5,0,0,0,0
14-Apr-20,0,5,0,0,0,0
15-Apr-20,0,5,0,0,0,0
16-Apr-20,8,13,0,0,0,0
17-Apr-20,0,13,0,0,0,0
18-Apr-20,0,13,0,0,0,0
19-Apr-20,0,13,0,0,0,0
20-Apr-20,0,13,0,0,0,0
21-Apr-20,0,13,0,0,0,0
22-Apr-20,3,16,0,0,0,0
23-Apr-20,2,18,0,0,7,7
24-Apr-20,0,18,0,0,0,7
25-Apr-20,10,28,0,0,3,10
26-Apr-20,20,48,0,0,0,10
27-Apr-20,0,48,0,0,0,10
28-Apr-20,23,71,0,0,0,10
29-Apr-20,8,79,0,0,0,10
30-Apr-20,0,79,0,0,0,10
01-May-20,0,79,0,0,0,10
02-May-20,0,79,0,0,0,10
03-May-20,0,79,0,0,0,10
04-May-20,0,79,0,0,0,10
05-May-20,13,92,0,0,0,10
06-May-20,0,92,0,0,9,19
07-May-20,1,93,0,0,0,19
08-May-20,2,95,0,0,0,19
09-May-20,0,95,0,0,0,19
10-May-20,1,96,0,0,0,19
11-May-20,1,97,0,0,21,40
12-May-20,1,98,0,0,9,49
13-May-20,1,99,0,0,0,49
14-May-20,0,99,0,0,1,50
15-May-20,0,99,0,0,0,50
