Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,4,4,0,0,0,0
25-Mar-20,0,4,0,0,0,0
26-Mar-20,0,4,0,0,0,0
27-Mar-20,2,6,0,0,1,1
28-Mar-20,0,6,0,0,0,1
29-Mar-20,0,6,0,0,0,1
30-Mar-20,0,6,0,0,0,1
31-Mar-20,1,7,0,0,0,1
01-Apr-20,1,8,0,0,0,1
02-Apr-20,0,8,0,0,0,1
03-Apr-20,0,8,0,0,0,1
04-Apr-20,3,11,0,0,0,1
05-Apr-20,0,11,0,0,0,1
06-Apr-20,0,11,0,0,0,1
07-Apr-20,0,11,0,0,3,4
08-Apr-20,0,11,0,0,0,4
09-Apr-20,0,11,0,0,0,4
10-Apr-20,0,11,0,0,0,4
11-Apr-20,0,11,0,0,0,4
12-Apr-20,0,11,0,0,1,5
13-Apr-20,0,11,0,0,1,6
14-Apr-20,0,11,0,0,0,6
15-Apr-20,0,11,0,0,0,6
16-Apr-20,0,11,0,0,0,6
17-Apr-20,1,12,0,0,0,6
18-Apr-20,0,12,0,0,0,6
19-Apr-20,2,14,1,1,0,6
20-Apr-20,0,14,0,1,0,6
21-Apr-20,2,16,0,1,0,6
22-Apr-20,0,16,0,1,0,6
23-Apr-20,1,17,0,1,0,6
24-Apr-20,0,17,1,2,0,6
25-Apr-20,0,17,0,2,0,6
26-Apr-20,1,18,0,2,0,6
27-Apr-20,0,18,0,2,0,6
28-Apr-20,0,18,0,2,0,6
29-Apr-20,0,18,0,2,0,6
30-Apr-20,0,18,1,3,0,6
01-May-20,0,18,0,3,0,6
02-May-20,0,18,0,3,0,6
03-May-20,0,18,0,3,0,6
04-May-20,0,18,0,3,0,6
05-May-20,1,19,0,3,0,6
06-May-20,3,22,0,3,1,7
07-May-20,0,22,0,3,0,7
08-May-20,0,22,0,3,0,7
09-May-20,3,25,0,3,0,7
10-May-20,0,25,0,3,0,7
11-May-20,0,25,0,3,0,7
12-May-20,2,27,0,3,0,7
13-May-20,1,28,1,4,1,8
14-May-20,0,28,1,5,2,10
15-May-20,16,44,0,5,0,10
