Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,2,2,0,0,0,0
25-Mar-20,0,2,0,0,0,0
26-Mar-20,0,2,0,0,0,0
27-Mar-20,0,2,0,0,0,0
28-Mar-20,0,2,0,0,0,0
29-Mar-20,0,2,0,0,0,0
30-Mar-20,0,2,0,0,0,0
31-Mar-20,0,2,0,0,0,0
01-Apr-20,0,2,0,0,0,0
02-Apr-20,1,3,0,0,0,0
03-Apr-20,0,3,0,0,0,0
04-Apr-20,0,3,0,0,0,0
05-Apr-20,0,3,0,0,0,0
06-Apr-20,2,5,0,0,0,0
07-Apr-20,1,6,0,0,0,0
08-Apr-20,0,6,0,0,0,0
09-Apr-20,1,7,0,0,0,0
10-Apr-20,0,7,0,0,0,0
11-Apr-20,0,7,0,0,0,0
12-Apr-20,0,7,0,0,0,0
13-Apr-20,0,7,0,0,0,0
14-Apr-20,0,7,0,0,0,0
15-Apr-20,0,7,0,0,0,0
16-Apr-20,0,7,0,0,0,0
17-Apr-20,0,7,0,0,0,0
18-Apr-20,4,11,0,0,0,0
19-Apr-20,0,11,0,0,0,0
20-Apr-20,0,11,0,0,0,0
21-Apr-20,0,11,0,0,0,0
22-Apr-20,2,13,2,2,0,0
23-Apr-20,3,16,0,2,3,3
24-Apr-20,4,20,0,2,0,3
25-Apr-20,9,29,0,2,0,3
26-Apr-20,0,29,0,2,0,3
27-Apr-20,0,29,0,2,0,3
28-Apr-20,3,32,0,2,1,4
29-Apr-20,0,32,0,2,4,8
30-Apr-20,0,32,0,2,1,9
01-May-20,0,32,0,2,0,9
02-May-20,4,36,0,2,0,9
03-May-20,1,37,0,2,1,10
04-May-20,0,37,0,2,0,10
05-May-20,42,79,0,2,1,11
06-May-20,10,89,0,2,0,11
07-May-20,5,94,0,2,3,14
08-May-20,0,94,0,2,0,14
09-May-20,4,98,0,2,2,16
10-May-20,21,119,0,2,0,16
11-May-20,2,121,0,2,15,31
12-May-20,2,123,0,2,0,31
13-May-20,2,125,0,2,0,31
14-May-20,0,125,0,2,2,33
15-May-20,1,126,0,2,0,33
