Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,6,6,1,1,0,0
15-Mar-20,0,6,0,1,0,0
16-Mar-20,1,7,0,1,0,0
17-Mar-20,2,9,0,1,0,0
18-Mar-20,5,14,0,1,0,0
19-Mar-20,1,15,0,1,0,0
20-Mar-20,0,15,0,1,1,1
21-Mar-20,5,20,0,1,0,1
22-Mar-20,6,26,0,1,0,1
23-Mar-20,7,33,0,1,1,2
24-Mar-20,8,41,0,1,1,3
25-Mar-20,10,51,0,1,0,3
26-Mar-20,4,55,1,2,0,3
27-Mar-20,9,64,1,3,2,5
28-Mar-20,17,81,0,3,0,5
29-Mar-20,2,83,0,3,0,5
30-Mar-20,5,88,0,3,1,6
31-Mar-20,13,101,0,3,2,8
01-Apr-20,9,110,0,3,1,9
02-Apr-20,14,124,0,3,2,11
03-Apr-20,4,128,1,4,0,11
04-Apr-20,16,144,0,4,0,11
05-Apr-20,7,151,0,4,1,12
06-Apr-20,12,163,0,4,8,20
07-Apr-20,12,175,0,4,5,25
08-Apr-20,6,181,1,5,3,28
09-Apr-20,16,197,1,6,2,30
10-Apr-20,10,207,0,6,4,34
11-Apr-20,8,215,0,6,5,39
12-Apr-20,17,232,0,6,15,54
13-Apr-20,15,247,2,8,6,60
14-Apr-20,13,260,2,10,11,71
15-Apr-20,19,279,2,12,9,80
16-Apr-20,36,315,1,13,2,82
17-Apr-20,44,359,0,13,6,88
18-Apr-20,25,384,1,14,16,104
19-Apr-20,6,390,2,16,7,111
20-Apr-20,18,408,0,16,1,112
21-Apr-20,10,418,1,17,17,129
22-Apr-20,9,427,0,17,2,131
23-Apr-20,18,445,0,17,14,145
24-Apr-20,29,474,1,18,7,152
25-Apr-20,26,500,0,18,6,158
26-Apr-20,3,503,1,19,24,182
27-Apr-20,9,512,1,20,11,193
28-Apr-20,11,523,0,20,14,207
29-Apr-20,12,535,1,21,9,216
30-Apr-20,30,565,1,22,13,229
01-May-20,24,589,0,22,22,251
02-May-20,12,601,3,25,20,271
03-May-20,13,614,0,25,22,293
04-May-20,37,651,2,27,28,321
05-May-20,22,673,2,29,10,331
06-May-20,20,693,0,29,23,354
07-May-20,12,705,1,30,12,366
08-May-20,48,753,0,30,10,376
09-May-20,41,794,0,30,10,386
10-May-20,54,848,1,31,36,422
11-May-20,14,862,0,31,4,426
12-May-20,63,925,0,31,7,433
13-May-20,34,959,2,33,18,451
14-May-20,28,987,2,35,9,460
15-May-20,69,1056,1,36,20,480
