Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,0.0,0,0.0,0,0.0,0
22-Mar-20,0.0,0,0.0,0,0.0,0
23-Mar-20,0.0,0,0.0,0,0.0,0
24-Mar-20,0.0,0,0.0,0,0.0,0
25-Mar-20,0.0,0,0.0,0,0.0,0
26-Mar-20,0.0,0,0.0,0,0.0,0
27-Mar-20,0.0,0,0.0,0,0.0,0
28-Mar-20,0.0,0,0.0,0,0.0,0
29-Mar-20,0.0,0,0.0,0,0.0,0
30-Mar-20,0.0,0,0.0,0,0.0,0
31-Mar-20,1.0,1,1.0,1,0.0,0
01-Apr-20,0.0,1,0.0,1,0.0,0
02-Apr-20,0.0,1,0.0,1,0.0,0
03-Apr-20,0.0,1,0.0,1,0.0,0
04-Apr-20,0.0,1,0.0,1,0.0,0
05-Apr-20,0.0,1,0.0,1,0.0,0
06-Apr-20,0.0,1,0.0,1,0.0,0
07-Apr-20,0.0,1,0.0,1,0.0,0
08-Apr-20,0.0,1,0.0,1,0.0,0
09-Apr-20,0.0,1,0.0,1,0.0,0
10-Apr-20,0.0,1,0.0,1,0.0,0
11-Apr-20,0.0,1,0.0,1,0.0,0
12-Apr-20,0.0,1,0.0,1,0.0,0
13-Apr-20,0.0,1,0.0,1,0.0,0
14-Apr-20,0.0,1,0.0,1,0.0,0
15-Apr-20,0.0,1,0.0,1,0.0,0
16-Apr-20,0.0,1,0.0,1,0.0,0
17-Apr-20,0.0,1,0.0,1,0.0,0
18-Apr-20,0.0,1,0.0,1,0.0,0
19-Apr-20,0.0,1,0.0,1,0.0,0
20-Apr-20,0.0,1,0.0,1,0.0,0
21-Apr-20,0.0,1,-1.0,0,0.0,0
22-Apr-20,78.0,79,0.0,0,0.0,0
23-Apr-20,0.0,79,0.0,0,0.0,0
24-Apr-20,0.0,79,0.0,0,0.0,0
25-Apr-20,0.0,79,0.0,0,0.0,0
26-Apr-20,0.0,79,0.0,0,0.0,0
27-Apr-20,0.0,79,0.0,0,0.0,0
28-Apr-20,0.0,79,0.0,0,0.0,0
29-Apr-20,0.0,79,0.0,0,0.0,0
30-Apr-20,0.0,79,0.0,0,0.0,0
01-May-20,0.0,79,0.0,0,0.0,0
02-May-20,0.0,79,0.0,0,0.0,0
03-May-20,0.0,79,0.0,0,0.0,0
04-May-20,162.0,241,17.0,17,20.0,20
05-May-20,24.0,265,1.0,18,2.0,22
06-May-20,24.0,289,1.0,19,0.0,22
07-May-20,35.0,324,0.0,19,1.0,23
08-May-20,38.0,362,1.0,20,1.0,24
09-May-20,8.0,370,0.0,20,5.0,29
10-May-20,47.0,417,2.0,22,31.0,60
11-May-20,23.0,440,0.0,22,19.0,79
12-May-20,37.0,477,1.0,23,51.0,130
13-May-20,7.0,484,2.0,25,4.0,134
14-May-20,25.0,509,2.0,27,1.0,135
15-May-20,27.0,536,2.0,29,2.0,137
