Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,1,1,0,0,0,0
26-Mar-20,0,1,0,0,0,0
27-Mar-20,1,2,0,0,1,1
28-Mar-20,1,3,0,0,0,1
29-Mar-20,0,3,0,0,0,1
30-Mar-20,0,3,0,0,0,1
31-Mar-20,0,3,0,0,0,1
01-Apr-20,0,3,0,0,0,1
02-Apr-20,0,3,0,0,0,1
03-Apr-20,0,3,0,0,0,1
04-Apr-20,0,3,0,0,0,1
05-Apr-20,0,3,0,0,0,1
06-Apr-20,0,3,0,0,1,2
07-Apr-20,0,3,0,0,0,2
08-Apr-20,0,3,0,0,0,2
09-Apr-20,0,3,0,0,0,2
10-Apr-20,0,3,0,0,0,2
11-Apr-20,0,3,0,0,0,2
12-Apr-20,0,3,0,0,0,2
13-Apr-20,0,3,0,0,0,2
14-Apr-20,0,3,0,0,0,2
15-Apr-20,0,3,0,0,0,2
16-Apr-20,0,3,0,0,0,2
17-Apr-20,0,3,0,0,0,2
18-Apr-20,0,3,0,0,0,2
19-Apr-20,0,3,0,0,0,2
20-Apr-20,0,3,0,0,0,2
21-Apr-20,0,3,0,0,0,2
22-Apr-20,0,3,0,0,0,2
23-Apr-20,0,3,0,0,0,2
24-Apr-20,0,3,0,0,0,2
25-Apr-20,0,3,0,0,0,2
26-Apr-20,0,3,0,0,0,2
27-Apr-20,0,3,0,0,0,2
28-Apr-20,0,3,0,0,0,2
29-Apr-20,0,3,0,0,0,2
30-Apr-20,1,4,0,0,0,2
01-May-20,6,10,0,0,0,2
02-May-20,0,10,1,1,0,2
03-May-20,0,10,0,1,0,2
04-May-20,22,32,1,2,0,2
05-May-20,12,44,1,3,0,2
06-May-20,0,44,0,3,0,2
07-May-20,3,47,1,4,0,2
08-May-20,14,61,0,4,0,2
09-May-20,6,67,0,4,0,2
10-May-20,1,68,0,4,0,2
11-May-20,3,71,0,4,0,2
12-May-20,12,83,0,4,0,2
13-May-20,2,85,0,4,0,2
14-May-20,3,88,0,4,0,2
15-May-20,0,88,0,4,0,2
