Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0.0,0,0.0,0,0.0,0
15-Mar-20,0.0,0,0.0,0,0.0,0
16-Mar-20,0.0,0,0.0,0,0.0,0
17-Mar-20,0.0,0,0.0,0,0.0,0
18-Mar-20,0.0,0,0.0,0,0.0,0
19-Mar-20,0.0,0,0.0,0,0.0,0
20-Mar-20,0.0,0,0.0,0,0.0,0
21-Mar-20,1.0,1,0.0,0,0.0,0
22-Mar-20,1.0,2,0.0,0,0.0,0
23-Mar-20,0.0,2,0.0,0,0.0,0
24-Mar-20,1.0,3,0.0,0,1.0,1
25-Mar-20,0.0,3,0.0,0,0.0,1
26-Mar-20,1.0,4,1.0,1,0.0,1
27-Mar-20,0.0,4,0.0,1,0.0,1
28-Mar-20,5.0,9,0.0,1,0.0,1
29-Mar-20,0.0,9,0.0,1,0.0,1
30-Mar-20,0.0,9,0.0,1,0.0,1
31-Mar-20,1.0,10,0.0,1,0.0,1
01-Apr-20,0.0,10,0.0,1,0.0,1
02-Apr-20,0.0,10,0.0,1,0.0,1
03-Apr-20,0.0,10,0.0,1,0.0,1
04-Apr-20,0.0,10,0.0,1,0.0,1
05-Apr-20,0.0,10,0.0,1,0.0,1
06-Apr-20,0.0,10,0.0,1,0.0,1
07-Apr-20,0.0,10,0.0,1,0.0,1
08-Apr-20,1.0,11,0.0,1,0.0,1
09-Apr-20,1.0,12,0.0,1,0.0,1
10-Apr-20,0.0,12,0.0,1,0.0,1
11-Apr-20,0.0,12,0.0,1,2.0,3
12-Apr-20,0.0,12,0.0,1,4.0,7
13-Apr-20,0.0,12,0.0,1,0.0,7
14-Apr-20,1.0,13,0.0,1,0.0,7
15-Apr-20,0.0,13,0.0,1,0.0,7
16-Apr-20,0.0,13,0.0,1,0.0,7
17-Apr-20,3.0,16,0.0,1,0.0,7
18-Apr-20,0.0,16,0.0,1,0.0,7
19-Apr-20,0.0,16,0.0,1,0.0,7
20-Apr-20,0.0,16,0.0,1,0.0,7
21-Apr-20,-3.0,13,-1.0,0,-7.0,0
22-Apr-20,0.0,13,0.0,0,0.0,0
23-Apr-20,0.0,13,0.0,0,0.0,0
24-Apr-20,4.0,17,2.0,2,10.0,10
25-Apr-20,1.0,18,0.0,2,0.0,10
26-Apr-20,0.0,18,0.0,2,1.0,11
27-Apr-20,0.0,18,0.0,2,0.0,11
28-Apr-20,0.0,18,0.0,2,0.0,11
29-Apr-20,0.0,18,0.0,2,0.0,11
30-Apr-20,0.0,18,0.0,2,0.0,11
01-May-20,1.0,19,0.0,2,0.0,11
02-May-20,1.0,20,0.0,2,0.0,11
03-May-20,0.0,20,0.0,2,1.0,12
04-May-20,1.0,21,0.0,2,0.0,12
05-May-20,0.0,21,0.0,2,0.0,12
06-May-20,0.0,21,0.0,2,0.0,12
07-May-20,0.0,21,0.0,2,0.0,12
08-May-20,0.0,21,0.0,2,0.0,12
09-May-20,1.0,22,0.0,2,0.0,12
10-May-20,1.0,23,0.0,2,4.0,16
11-May-20,0.0,23,0.0,2,0.0,16
12-May-20,1.0,24,0.0,2,0.0,16
13-May-20,0.0,24,0.0,2,0.0,16
14-May-20,0.0,24,0.0,2,0.0,16
15-May-20,0.0,24,0.0,2,0.0,16
