Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,0,0,0,0,0,0
23-Mar-20,0,0,0,0,0,0
24-Mar-20,0,0,0,0,0,0
25-Mar-20,1,1,0,0,0,0
26-Mar-20,0,1,0,0,0,0
27-Mar-20,1,2,0,0,0,0
28-Mar-20,2,4,0,0,0,0
29-Mar-20,0,4,0,0,0,0
30-Mar-20,0,4,0,0,0,0
31-Mar-20,5,9,0,0,0,0
01-Apr-20,11,20,0,0,0,0
02-Apr-20,0,20,0,0,0,0
03-Apr-20,0,20,0,0,0,0
04-Apr-20,10,30,0,0,0,0
05-Apr-20,0,30,0,0,0,0
06-Apr-20,2,32,0,0,0,0
07-Apr-20,9,41,0,0,0,0
08-Apr-20,8,49,0,0,0,0
09-Apr-20,2,51,0,0,0,0
10-Apr-20,7,58,0,0,0,0
11-Apr-20,17,75,0,0,0,0
12-Apr-20,7,82,0,0,0,0
13-Apr-20,11,93,0,0,0,0
14-Apr-20,21,114,0,0,0,0
15-Apr-20,8,122,0,0,0,0
16-Apr-20,0,122,0,0,0,0
17-Apr-20,3,125,0,0,0,0
18-Apr-20,0,125,0,0,0,0
19-Apr-20,3,128,0,0,0,0
